latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,14942271488.0,10071737344.0,1.1297439452781068e-18,1.9938753986557254e-31
87.5,-172.5,15084437504.0,10272658432.0,1.2859868858583745e-18,2.012720688989238e-31
87.5,-167.5,15148880896.0,10376568832.0,1.3613746793203855e-18,2.0264751483882097e-31
87.5,-162.5,14871747584.0,10356641792.0,1.5263017755615412e-18,1.983699379159527e-31
87.5,-157.5,14867894272.0,10507066368.0,1.80697149862872e-18,1.9787585413041508e-31
87.5,-152.5,14901766144.0,10671154176.0,2.225160101930416e-18,1.9833410884813964e-31
87.5,-147.5,14845992960.0,10768114688.0,2.783124444370404e-18,1.9719989785891823e-31
87.5,-142.5,14849392640.0,10831618048.0,3.1239346440659802e-18,1.9712907432428119e-31
87.5,-137.5,14870307840.0,10954506240.0,3.952859987326035e-18,1.97341098240339e-31
87.5,-132.5,14774010880.0,10987494400.0,4.96874365865956e-18,1.9560160169999218e-31
87.5,-127.5,14850236416.0,11115629568.0,6.386714862671436e-18,1.9622129881185867e-31
87.5,-122.5,14894817280.0,11184821248.0,7.271892830283313e-18,1.9681882610026866e-31
87.5,-117.5,14964593664.0,11301985280.0,9.230626742306831e-18,1.97930091439762e-31
87.5,-112.5,14791438336.0,11239585792.0,1.0788107746890063e-17,1.954671133913146e-31
87.5,-107.5,14681709568.0,11220542464.0,1.1736400008830042e-17,1.93594257016867e-31
87.5,-102.5,14661713920.0,11265029120.0,1.2518171714476359e-17,1.9339551618697347e-31
87.5,-97.5,14774130688.0,11361278976.0,1.2550080206605592e-17,1.9467849774123495e-31
87.5,-92.5,14819341312.0,11374204928.0,1.2609334462605216e-17,1.958715304677715e-31
87.5,-87.5,14611436544.0,11246182400.0,1.194957520603292e-17,1.9362362086575053e-31
87.5,-82.5,14490534912.0,11183025152.0,1.135801947250746e-17,1.9227792668787269e-31
87.5,-77.5,14571637760.0,11222768640.0,1.1017828210705227e-17,1.9345734718982672e-31
87.5,-72.5,14736846848.0,11333232640.0,9.72084127026597e-18,1.9626032522430597e-31
87.5,-67.5,14566852608.0,11144093696.0,7.902309508986515e-18,1.9467377225394464e-31
87.5,-62.5,14608465920.0,11100612608.0,5.432093841864814e-18,1.9515212792506826e-31
87.5,-57.5,14825674752.0,11237051392.0,4.005744539018694e-18,1.9862161125646375e-31
87.5,-52.5,14861444096.0,11227149312.0,3.420044003459191e-18,1.994560946961125e-31
87.5,-47.5,14644230144.0,10983938048.0,3.304299929067096e-18,1.9692057689127584e-31
87.5,-42.5,14678526976.0,10853566464.0,4.0893559553355544e-18,1.9752654422912473e-31
87.5,-37.5,14628278272.0,10684977152.0,5.0449216164017124e-18,1.9690500159112744e-31
87.5,-32.5,14678893568.0,10665909248.0,5.621035955842339e-18,1.976447284311564e-31
87.5,-27.5,14838544384.0,10704284672.0,6.959504763230212e-18,2.0019785514136837e-31
87.5,-22.5,14794447872.0,10541802496.0,8.376726541607115e-18,1.9987459419489225e-31
87.5,-17.5,14817396736.0,10435312640.0,9.45493827209651e-18,1.9998313934324718e-31
87.5,-12.5,14898523136.0,10417416192.0,1.0145897954193693e-17,2.0121754947093268e-31
87.5,-7.5,14859602944.0,10351255552.0,1.0315965460953983e-17,2.00614755967831e-31
87.5,-2.5,14848506880.0,10236041216.0,1.0651517066700407e-17,2.0033073302278533e-31
87.5,2.5,14835682304.0,10070507520.0,1.037835059557212e-17,2.0011648742240446e-31
87.5,7.5,14695255040.0,9798013952.0,8.716488496671434e-18,1.977639705781038e-31
87.5,12.5,14695225344.0,9721100288.0,8.149310602978524e-18,1.9748225160198574e-31
87.5,17.5,14756804608.0,9666514944.0,6.945819059995522e-18,1.979979644835785e-31
87.5,22.5,14814090240.0,9614622720.0,5.985161688668794e-18,1.986379741378272e-31
87.5,27.5,14666960896.0,9406395392.0,4.977057237406024e-18,1.962098847617122e-31
87.5,32.5,14712495104.0,9299604480.0,4.195352119799018e-18,1.9676301362849162e-31
87.5,37.5,14673476608.0,9200253952.0,3.840331163974934e-18,1.9623036187330351e-31
87.5,42.5,14642594816.0,9052931072.0,3.216472373168053e-18,1.9594253032656117e-31
87.5,47.5,14575624192.0,8862253056.0,2.7037918265671276e-18,1.9541585008267524e-31
87.5,52.5,14550328320.0,8687428608.0,2.2827494501521235e-18,1.9522110593357451e-31
87.5,57.5,14640065536.0,8686410752.0,2.1274537347708055e-18,1.9669448230783868e-31
87.5,62.5,14758426624.0,8678028288.0,1.8509516578223987e-18,1.9882445456164165e-31
87.5,67.5,14506109952.0,8477734400.0,1.563924327964714e-18,1.94900148956026e-31
87.5,72.5,14570103808.0,8485996032.0,1.384390152684061e-18,1.957874708667442e-31
87.5,77.5,14750386176.0,8574444544.0,1.2410699446209794e-18,1.9830982313485165e-31
87.5,82.5,14803147776.0,8605181952.0,1.1859085782922682e-18,1.989324589825952e-31
87.5,87.5,14681124864.0,8545131008.0,1.0622536587144458e-18,1.971646800481676e-31
87.5,92.5,14624265216.0,8533295104.0,9.815872121734277e-19,1.961640169721431e-31
87.5,97.5,14551339008.0,8526924288.0,9.07346925016181e-19,1.9484250271306167e-31
87.5,102.5,14568797184.0,8556819456.0,8.787391937237642e-19,1.9505048292855266e-31
87.5,107.5,14476879872.0,8550735872.0,8.206482121593316e-19,1.9364180576335775e-31
87.5,112.5,14514422784.0,8641630208.0,7.817865431985543e-19,1.9434426943246565e-31
87.5,117.5,14598356992.0,8749142016.0,7.836981058953761e-19,1.9550663351138925e-31
87.5,122.5,14624064512.0,8815326208.0,7.840029219511019e-19,1.9575653185543056e-31
87.5,127.5,14656526336.0,8860393472.0,7.89821879066471e-19,1.9619615498769459e-31
87.5,132.5,14807267328.0,9004437504.0,7.987811239798211e-19,1.9860355566323512e-31
87.5,137.5,14886352896.0,9103285248.0,8.475638421111945e-19,1.996279519702027e-31
87.5,142.5,14894969856.0,9152956416.0,9.021788039465262e-19,1.993699309601972e-31
87.5,147.5,15014690816.0,9251536896.0,9.398658764374781e-19,2.0108274377878038e-31
87.5,152.5,14997042176.0,9321114624.0,9.911545899333692e-19,2.005606832276932e-31
87.5,157.5,14907147264.0,9375217664.0,1.0336779806707655e-18,1.9933605321300652e-31
87.5,162.5,14757033984.0,9455175680.0,1.0631457730050843e-18,1.96872193543796e-31
87.5,167.5,14933948416.0,9691783168.0,1.0655114061594094e-18,1.9917383499259305e-31
87.5,172.5,15098728448.0,9861182464.0,1.0740713813308378e-18,2.020446978258323e-31
87.5,177.5,14804668416.0,9840049152.0,1.0357560651646518e-18,1.9774871266143014e-31
82.5,-177.5,14257005568.0,6857809408.0,1.0524281941410393e-20,2.2887716664465127e-31
82.5,-172.5,14325607424.0,6869401600.0,8.631355042178082e-20,2.2917233327614274e-31
82.5,-167.5,14345944064.0,6878694912.0,4.1462161955460847e-19,2.290911066165009e-31
82.5,-162.5,14462462976.0,6932514816.0,3.00587797947634e-18,2.2995013437819483e-31
82.5,-157.5,14612316160.0,6995170816.0,9.178460596976174e-18,2.3079801845344295e-31
82.5,-152.5,14790667264.0,7068758016.0,2.0484403259659134e-17,2.3164917040298635e-31
82.5,-147.5,14972347392.0,7175495680.0,3.911346025769653e-17,2.3231158497956173e-31
