latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,61315288.0,411680.03125,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,61809664.0,413691.46875,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,62076100.0,415237.40625,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,60925488.0,405476.21875,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,60812768.0,403008.125,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,60886152.0,402105.125,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,60579320.0,398123.03125,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,60553300.0,396814.28125,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,60570800.0,394488.25,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,60111364.0,388349.28125,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,60333640.0,386273.15625,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,60562932.0,385834.125,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,60808124.0,384696.46875,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,59999892.0,377401.03125,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,59528048.0,371005.4375,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,59412652.0,367558.46875,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,59865268.0,368451.84375,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,60131284.0,368270.1875,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,59347740.0,362499.03125,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,58841532.0,358331.5625,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,59202856.0,359946.78125,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,59993692.0,363752.34375,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,59393896.0,360246.03125,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,59574500.0,360071.875,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,60652780.0,366239.71875,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,60833524.0,367530.03125,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,59937792.0,362967.28125,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,60085864.0,365025.59375,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,59855020.0,364260.46875,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,60075628.0,366401.15625,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,60763312.0,372127.5625,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,60587748.0,373794.25,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,60755916.0,377227.96875,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,61124148.0,382571.59375,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,60979016.0,383279.34375,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,60994056.0,387765.90625,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,61012788.0,394338.28125,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,60460148.0,396227.78125,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,60449684.0,399713.84375,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,60774016.0,407718.125,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,61097436.0,416857.28125,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,60575012.0,420009.46875,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,60885008.0,429093.21875,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,60795080.0,431791.6875,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,60867264.0,439544.1875,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,60723292.0,442182.1875,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,60803672.0,445987.4375,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,61262064.0,451101.09375,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,61780344.0,458953.03125,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,60682444.0,449918.5,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,60994016.0,452549.0625,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,61718008.0,459767.40625,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,61902240.0,462309.46875,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,61377340.0,460642.21875,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,61116008.0,459440.375,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,60763476.0,456698.9375,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,60782900.0,456720.53125,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,60291996.0,451473.46875,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,60455000.0,448822.875,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,60772564.0,447235.34375,1.4547739865034401e-26,1.9550663351138925e-31
