latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,1476675456.0,56845732.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,1488599552.0,56959824.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,1494868096.0,57089372.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,1470044928.0,55739716.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,1466908544.0,55211068.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,1468311808.0,54826656.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,1460660736.0,54066708.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,1459768064.0,53764352.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,1459830912.0,53227900.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,1448446848.0,52200132.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,1453123584.0,51684588.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,1458323968.0,51542336.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,1462820096.0,51185484.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,1445324672.0,50140404.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,1434091264.0,49190764.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,1430701184.0,48615560.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,1440966912.0,48625740.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,1446247680.0,48506752.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,1428424448.0,47737760.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,1416556160.0,47074088.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,1424355712.0,47165144.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,1440466304.0,47456004.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,1425536640.0,46947728.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,1429023744.0,46846836.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,1451013888.0,47478872.0,1.492587695031539e-26,1.9862161125646375e-31
