latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,733437312.0,330089152.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,738951232.0,332655520.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,742465152.0,334398912.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,729101440.0,328032512.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,727346752.0,326633440.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,728308736.0,326970592.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,724517760.0,324910848.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,724195840.0,324617472.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,724406080.0,324560544.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,719242048.0,322144800.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,721629888.0,322649120.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,723800320.0,323451840.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,726706752.0,324867424.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,718315200.0,321480320.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,712663424.0,318853504.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,711579392.0,318428832.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,716155200.0,320060128.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,719193856.0,321611808.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,710783360.0,318951104.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,706276544.0,316807200.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,710083968.0,318547424.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,718491136.0,322426656.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,712118272.0,320741472.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,714068480.0,321380320.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,725263552.0,325606688.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,727543808.0,326651616.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,718568128.0,322739776.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,720088384.0,323075168.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,717683840.0,321929920.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,719940672.0,323067520.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,727458176.0,326302560.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,725523328.0,326149056.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,726227200.0,326474976.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,729873792.0,328169984.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,728120448.0,327469888.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,727609984.0,327291328.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,727499584.0,327218912.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,721332032.0,323842816.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,721082176.0,323490016.0,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,724004352.0,324055744.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,727405888.0,325902656.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,720854336.0,323206464.0,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,723907072.0,324630592.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,722623360.0,324062336.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,722592192.0,324421504.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,721473344.0,323315200.0,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,721572992.0,323592032.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,726326400.0,326054880.0,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,732929792.0,329072224.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,721410688.0,322972800.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,724682112.0,324360128.0,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,733028224.0,328718240.0,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,735404352.0,330102272.0,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,730203584.0,328377312.0,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,727442624.0,327626368.0,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,722799552.0,325822976.0,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,723323392.0,326111392.0,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,718655360.0,323814144.0,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,720758144.0,323856992.0,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,724499584.0,325223872.0,1.4547739865034401e-26,1.9550663351138925e-31
87.5,122.5,725272064.0,325239168.0,1.4566384407640025e-26,1.9575653185543056e-31
87.5,127.5,726400000.0,325855328.0,1.4602832246651565e-26,1.9619615498769459e-31
87.5,132.5,732611328.0,329296480.0,1.4808623253813185e-26,1.9860355566323512e-31
87.5,137.5,735503168.0,330798400.0,1.4895954161955436e-26,1.996279519702027e-31
87.5,142.5,735040896.0,330252544.0,1.4873684248822497e-26,1.993699309601972e-31
