latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,4435492352.0,501097632.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,4469438464.0,503524000.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,4489883648.0,505285344.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,4416264192.0,495953504.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,4405928960.0,492184000.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,4411267072.0,490210144.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,4388765696.0,485359680.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,4386371584.0,483687520.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,4386852864.0,480958336.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,4354705408.0,475277280.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,4367706624.0,473764384.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,4381239296.0,473782272.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,4396590592.0,473722912.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,4348192768.0,467847168.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,4315428352.0,463486080.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,4307604480.0,462005216.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,4334704640.0,463648544.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,4351607808.0,465094784.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,4303383040.0,462173632.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,4272306944.0,459306464.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,4294033664.0,461329280.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,4341606400.0,465783328.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,4302029824.0,463073216.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,4310226944.0,463478080.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,4373074432.0,467772480.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,4384683008.0,468766208.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,4328295936.0,463192896.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,4333556736.0,463526432.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,4315323392.0,461784992.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,4327220224.0,463183584.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,4367172608.0,467559072.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,4352377856.0,467040864.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,4354327040.0,467262208.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,4373798912.0,469893856.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,4362196480.0,469028512.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,4356602368.0,468901600.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,4354464256.0,469707616.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,4317573632.0,465891776.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,4316269056.0,466075968.0,1.4801600542863972e-26,1.9748225160198574e-31
