latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,16750596096.0,5658945536.0,2.550036325106466e-26,1.9890624545857186e-31
87.5,-172.5,16906344448.0,5698557440.0,2.5493359029042913e-26,2.0079237316424025e-31
87.5,-167.5,16983654400.0,5731064832.0,2.5599912258774103e-26,2.02168688969957e-31
87.5,-162.5,16662188032.0,5624055296.0,2.502925767550821e-26,1.9788981900330285e-31
87.5,-157.5,16640432128.0,5630536704.0,2.598584550846997e-26,1.973964170044887e-31
87.5,-152.5,16674350080.0,5652816896.0,2.649947407645454e-26,1.9785540052871077e-31
87.5,-147.5,16617085952.0,5612206080.0,2.6407559455044646e-26,1.967212365592634e-31
87.5,-142.5,16629581824.0,5590561280.0,2.634830860549156e-26,1.9665060110372248e-31
87.5,-137.5,16675816448.0,5530898944.0,2.6329884389271575e-26,1.9686309521752063e-31
87.5,-132.5,16581492736.0,5427232768.0,2.6445480245277653e-26,1.9512314023437699e-31
87.5,-127.5,16679225344.0,5401996800.0,2.621414370333368e-26,1.9574309595500066e-31
87.5,-122.5,16750746624.0,5411460096.0,2.609608881997461e-26,1.963408583422808e-31
87.5,-117.5,16852788224.0,5458897920.0,2.5531136530088057e-26,1.9745284073332817e-31
87.5,-112.5,16649366528.0,5409582080.0,2.4681912358178083e-26,1.9498898106411764e-31
87.5,-107.5,16511951872.0,5351437312.0,2.406192161271281e-26,1.931149374403757e-31
87.5,-102.5,16479783936.0,5338470912.0,2.344672720318104e-26,1.9291571465779834e-31
87.5,-97.5,16596546560.0,5379554816.0,2.3121731917669538e-26,1.9419871972194683e-31
87.5,-92.5,16661984256.0,5410022912.0,2.2312859829954365e-26,1.9539212860667565e-31
87.5,-87.5,16440911872.0,5360377856.0,2.1527394724411297e-26,1.9314321983445648e-31
87.5,-82.5,16303970304.0,5336816128.0,2.074085572033124e-26,1.9179607979852712e-31
87.5,-77.5,16413977600.0,5377528832.0,2.0455409791413718e-26,1.9297507712251486e-31
87.5,-72.5,16638746624.0,5461908992.0,1.9795066961753644e-26,1.9577839605035585e-31
87.5,-67.5,16461774848.0,5419247104.0,1.885152152637527e-26,1.9419105549877947e-31
87.5,-62.5,16508716032.0,5445525504.0,1.86164101617403e-26,1.9466838848981788e-31
87.5,-57.5,16815446016.0,5545988608.0,1.8410170798087626e-26,1.981380834101965e-31
87.5,-52.5,16865346560.0,5571788800.0,1.814851241509922e-26,1.989730605574726e-31
87.5,-47.5,16622675968.0,5506518016.0,1.7231145760268915e-26,1.9643621444401951e-31
87.5,-42.5,16681051136.0,5526437376.0,1.7709164653953738e-26,1.970413119160488e-31
87.5,-37.5,16621613056.0,5513594368.0,1.9391570771708918e-26,1.9641872308807928e-31
