latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,463609536.0,7462827.5,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,467280864.0,7490328.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,469064256.0,7516390.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,460158944.0,7325572.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,459055680.0,7265745.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,459319168.0,7234694.5,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,456711424.0,7147096.5,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,456384064.0,7115498.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,456297344.0,7057100.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,452510624.0,6928056.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,454173120.0,6872695.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,456099136.0,6861523.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,457689728.0,6829580.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,451387744.0,6686697.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,447599296.0,6555754.5,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,446540576.0,6479037.5,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,450242720.0,6485191.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,452293792.0,6475778.5,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,446135296.0,6365275.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,442276128.0,6279130.5,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,445143296.0,6303884.5,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,450987776.0,6367529.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,446179936.0,6308696.5,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,447904352.0,6309523.5,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,455829472.0,6426237.5,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,457166688.0,6452721.5,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,449943744.0,6381779.5,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,451282816.0,6438804.5,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,449704608.0,6442036.5,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,451501056.0,6488235.5,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,456492992.0,6594710.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,454931072.0,6632793.5,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,456257984.0,6712150.5,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,459069312.0,6817457.5,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,457918240.0,6833718.5,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,458014912.0,6917498.5,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,458102528.0,7024964.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,454284480.0,7049115.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,454474624.0,7107328.5,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,457204640.0,7244521.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,459769760.0,7412256.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,455858144.0,7472322.5,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,458140928.0,7640418.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,457393536.0,7690297.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,457859552.0,7836007.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,457202688.0,7872367.5,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,457809056.0,7943542.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,461201472.0,8037379.5,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,465160000.0,8178070.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,457031488.0,8010148.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,459518432.0,8061216.0,1.4584844060970988e-26,1.957874708667442e-31
