latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,5537614848.0,1563056512.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,5582694912.0,1562510080.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,5607936000.0,1563226496.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,5506023936.0,1531444864.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,5495522816.0,1512972544.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,5503058432.0,1499370624.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,5475340288.0,1478931072.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,5473248256.0,1470129280.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,5475810816.0,1454091520.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,5435613696.0,1433487232.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,5455314432.0,1428529536.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,5473027072.0,1429613952.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,5494729728.0,1432075136.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,5428240384.0,1421824896.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,5386304000.0,1416161536.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,5378417664.0,1417177856.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,5416631808.0,1424495872.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,5439521792.0,1432552448.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,5374734848.0,1429133952.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,5335764480.0,1423083776.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,5366096896.0,1431370240.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,5432263168.0,1448301568.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,5382476800.0,1443977088.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,5399015936.0,1447030144.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,5485945856.0,1467322240.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,5502973952.0,1472615808.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,5429420544.0,1461226752.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,5440881152.0,1468347520.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,5420393984.0,1469115008.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,5437978112.0,1475540352.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,5493265408.0,1495660416.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,5473646592.0,1499902208.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,5476867072.0,1506248960.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,5502545920.0,1518124160.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,5486860288.0,1517242240.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,5480403968.0,1521255424.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,5475586560.0,1528381056.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,5424541184.0,1523186176.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,5422578176.0,1524959232.0,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,5445048832.0,1534776448.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,5468556800.0,1546225920.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,5418886144.0,1545507840.0,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,5439263744.0,1560272512.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,5428810240.0,1564228480.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,5428290560.0,1574674176.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,5419405824.0,1578857088.0,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,5423830528.0,1584563712.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,5462202368.0,1596955008.0,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,5512273408.0,1616212224.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,5422726144.0,1598510464.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,5451451904.0,1609013120.0,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,5518436352.0,1630697728.0,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,5536182272.0,1637281408.0,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,5489830912.0,1633348608.0,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,5468852736.0,1633611008.0,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,5442460672.0,1633496704.0,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,5446776320.0,1635456256.0,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,5411727360.0,1624404608.0,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,5426614272.0,1625068032.0,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,5456351744.0,1628655104.0,1.4547739865034401e-26,1.9550663351138925e-31
87.5,122.5,5461960704.0,1626031104.0,1.4566384407640025e-26,1.9575653185543056e-31
87.5,127.5,5470080512.0,1624144128.0,1.4602832246651565e-26,1.9619615498769459e-31
87.5,132.5,5520381440.0,1631766912.0,1.4808623253813185e-26,1.9860355566323512e-31
87.5,137.5,5543063040.0,1625318272.0,1.4895954161955436e-26,1.996279519702027e-31
87.5,142.5,5543357440.0,1611433216.0,1.4873684248822497e-26,1.993699309601972e-31
87.5,147.5,5586273280.0,1615655552.0,1.5022159580839154e-26,2.0108274377878038e-31
87.5,152.5,5575799808.0,1599041152.0,1.497723765007231e-26,2.005606832276932e-31
87.5,157.5,5542241792.0,1589694336.0,1.4870929398630046e-26,1.9933605321300652e-31
87.5,162.5,5487250944.0,1574936704.0,1.4658240480779608e-26,1.96872193543796e-31
87.5,167.5,5541449216.0,1576728064.0,1.4862993026515215e-26,1.9917383499259305e-31
87.5,172.5,5604217856.0,1589636992.0,1.5114802974140002e-26,2.020446978258323e-31
87.5,177.5,5495257088.0,1564575616.0,1.4740274311202816e-26,1.9774871266143014e-31
82.5,-177.5,5823800320.0,1506233472.0,1.7391551072733083e-26,2.2887716664465127e-31
82.5,-172.5,5821966848.0,1548946304.0,1.736997603512408e-26,2.2917233327614274e-31
82.5,-167.5,5811293184.0,1571661056.0,1.739364186228071e-26,2.290911066165009e-31
82.5,-162.5,5825820160.0,1624009344.0,1.751447316624761e-26,2.2995013437819483e-31
82.5,-157.5,5849162240.0,1658382720.0,1.7626223325340735e-26,2.3079801845344295e-31
82.5,-152.5,5874703872.0,1640458752.0,1.776786083568284e-26,2.3164917040298635e-31
82.5,-147.5,5902455808.0,1584575360.0,1.7845198478529652e-26,2.3231158497956173e-31
82.5,-142.5,5915975680.0,1544011008.0,1.7881769577057633e-26,2.3275850793174436e-31
82.5,-137.5,5947401728.0,1429075712.0,1.7959937680896466e-26,2.3352283786853603e-31
82.5,-132.5,5984964096.0,1352131072.0,1.7961156409365275e-26,2.3382049654805125e-31
82.5,-127.5,6016629248.0,1334023424.0,1.7945690421539867e-26,2.3335163887128227e-31
82.5,-122.5,6056927744.0,1335054208.0,1.805567796954789e-26,2.3455367588454612e-31
82.5,-117.5,5986413568.0,1312154240.0,1.760431548703734e-26,2.2963397341759767e-31
82.5,-112.5,5954560000.0,1318975232.0,1.7375713765614398e-26,2.270309822370238e-31
82.5,-107.5,5939225088.0,1340290432.0,1.723050943301529e-26,2.255699603083868e-31
82.5,-102.5,5920455168.0,1353780224.0,1.7083588711649742e-26,2.2400001707320258e-31
82.5,-97.5,5892512256.0,1356610176.0,1.698370690324591e-26,2.227377712392896e-31
82.5,-92.5,5931068416.0,1381926400.0,1.717855862832341e-26,2.248850937897107e-31
82.5,-87.5,5954399744.0,1397094016.0,1.7298169663077546e-26,2.2627955922820417e-31
82.5,-82.5,5966011904.0,1407577728.0,1.7379864529830542e-26,2.2692380066211584e-31
82.5,-77.5,5986309120.0,1417149824.0,1.7476362864508075e-26,2.2783913460321414e-31
82.5,-72.5,6095316992.0,1458022144.0,1.7967399503873e-26,2.3320420836980214e-31
82.5,-67.5,5878412800.0,1421208448.0,1.7089637672419074e-26,2.229531923340213e-31
82.5,-62.5,5904705536.0,1429261440.0,1.7112506934950705e-26,2.2294924267300254e-31
82.5,-57.5,6216857088.0,1517743488.0,1.8233262577115992e-26,2.356667985051138e-31
82.5,-52.5,6261676032.0,1568630784.0,1.8401695165588366e-26,2.375524089932678e-31
82.5,-47.5,6320658432.0,1659484288.0,1.888707111166075e-26,2.42814838593142e-31
82.5,-42.5,6245045248.0,1673607168.0,1.852726425721846e-26,2.3877271318874345e-31
82.5,-37.5,6086189056.0,1676799488.0,1.7822423201379307e-26,2.3128295689293118e-31
82.5,-32.5,6029268480.0,1678588416.0,1.758647675352045e-26,2.284454780992553e-31
82.5,-27.5,5941910016.0,1685669504.0,1.715391134726712e-26,2.2371279678352266e-31
82.5,-22.5,5874419200.0,1684536832.0,1.6833159270609092e-26,2.2016750582144264e-31
82.5,-17.5,5837759488.0,1678889856.0,1.6593065140022002e-26,2.178187035392906e-31
82.5,-12.5,5812649984.0,1679982208.0,1.6317373661086813e-26,2.1467954587541968e-31
82.5,-7.5,5808652800.0,1682019968.0,1.624926661527746e-26,2.1377401555720724e-31
82.5,-2.5,5805153280.0,1689825920.0,1.610330731814015e-26,2.123175780565384e-31
82.5,2.5,5825119744.0,1705188352.0,1.6053280902648702e-26,2.1163962344464518e-31
82.5,7.5,5780867072.0,1717450752.0,1.595548834304854e-26,2.102591228790395e-31
82.5,12.5,5763789824.0,1724607872.0,1.5912772757625987e-26,2.0992095666419493e-31
82.5,17.5,5729723904.0,1715516928.0,1.5808110020728207e-26,2.087504228995331e-31
82.5,22.5,5709825536.0,1692262912.0,1.574780992454142e-26,2.0812122779331197e-31
82.5,27.5,5711951872.0,1700308864.0,1.5736511649115667e-26,2.079958965856273e-31
82.5,32.5,5715761152.0,1696135168.0,1.5757488878069933e-26,2.083562796437024e-31
82.5,37.5,5736921600.0,1706214656.0,1.5844895282666004e-26,2.0938446104247963e-31
82.5,42.5,5856615936.0,1755912832.0,1.6193111120330993e-26,2.1327972018268646e-31
82.5,47.5,6019607552.0,1824101248.0,1.668681016525104e-26,2.1909811159072557e-31
82.5,52.5,5981967360.0,1837463424.0,1.6572135674130357e-26,2.176331635109568e-31
82.5,57.5,6000398336.0,1855427584.0,1.6654328201180982e-26,2.1852799683057676e-31
82.5,62.5,5961255936.0,1880683776.0,1.6547838141951968e-26,2.174122646125503e-31
82.5,67.5,5995870720.0,1927299456.0,1.671654960508029e-26,2.1948301546095882e-31
82.5,72.5,5983123968.0,1963405312.0,1.6708109409692007e-26,2.1944941983241232e-31
82.5,77.5,5940243968.0,1989014272.0,1.6563183951748845e-26,2.177696854248613e-31
82.5,82.5,5947631104.0,2007685376.0,1.6627385211630982e-26,2.1853295741673723e-31
82.5,87.5,5964734464.0,2027073536.0,1.6787460804888672e-26,2.20188006442921e-31
82.5,92.5,5982725632.0,2018190592.0,1.6914989722830173e-26,2.216140221497905e-31
82.5,97.5,6021827072.0,2001918720.0,1.7152017772945799e-26,2.241308260845621e-31
82.5,102.5,6051777024.0,1994111872.0,1.7300037044751624e-26,2.2594301519556375e-31
82.5,107.5,6096514560.0,1961526912.0,1.7602475838754462e-26,2.2953203454749436e-31
82.5,112.5,6134841344.0,1912084736.0,1.7957552609253337e-26,2.337017951285052e-31
82.5,117.5,6082698752.0,1826868736.0,1.7992176207421553e-26,2.3424061822903513e-31
82.5,122.5,6043751936.0,1750234496.0,1.8109215740513943e-26,2.3560889365339228e-31
82.5,127.5,6016194048.0,1712763008.0,1.8128955752071935e-26,2.3587072326509443e-31
82.5,132.5,5953948672.0,1639712256.0,1.8143816227522827e-26,2.356963034133194e-31
82.5,137.5,5901731328.0,1561100672.0,1.8078514876456455e-26,2.35129597586788e-31
82.5,142.5,5858075648.0,1496443008.0,1.801589133838476e-26,2.3428566317255864e-31
82.5,147.5,5845825024.0,1476907648.0,1.796935162646463e-26,2.338455815974978e-31
82.5,152.5,5842190336.0,1474010624.0,1.7883271802414255e-26,2.328904924374547e-31
82.5,157.5,5849875968.0,1489460992.0,1.7767540360940093e-26,2.3197311313618596e-31
82.5,162.5,5850236416.0,1494842112.0,1.7632474123568238e-26,2.311277446188486e-31
82.5,167.5,5846357504.0,1482325888.0,1.7526230583372105e-26,2.304144311368826e-31
82.5,172.5,5836468224.0,1476860288.0,1.74485878732221e-26,2.297821327255753e-31
