latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,571820800.0,18784030.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,576403072.0,18912476.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,578615232.0,18997602.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,567503040.0,18590886.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,566185536.0,18476490.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,566568960.0,18412068.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,563401280.0,18219978.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,563035200.0,18144652.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,563026432.0,17998580.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,558397120.0,17654776.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,560535168.0,17500164.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,562917440.0,17466458.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,564947392.0,17351620.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,557109184.0,16975890.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,552366400.0,16617456.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,551051072.0,16393244.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,555616256.0,16385184.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,558182976.0,16324067.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,550499904.0,16026141.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,545702144.0,15773767.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,549272768.0,15808260.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,556635840.0,15922597.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,550833408.0,15733462.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,553088256.0,15699151.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,563012544.0,15958731.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,564759680.0,16017062.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,555934784.0,15828233.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,557728704.0,15932943.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,555918272.0,15911419.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,558204992.0,15992051.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,564551936.0,16173740.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,562715840.0,16196648.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,564391616.0,16326744.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,567881152.0,16508103.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,566431424.0,16511783.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,566530560.0,16619271.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,566598272.0,16751653.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,561823872.0,16702740.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,562046656.0,16767220.0,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,565404992.0,16965836.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,568519872.0,17300368.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,563544384.0,17363890.0,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,566280192.0,17690842.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,565262080.0,17776378.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,565705920.0,18054250.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,564831552.0,18212562.0,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,565618112.0,18378754.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,569883776.0,18589526.0,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,574834880.0,18897624.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,564655680.0,18567398.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,567713856.0,18731622.0,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,574859072.0,19125418.0,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,576705984.0,19292550.0,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,571557376.0,19338520.0,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,568784960.0,19368366.0,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,565222656.0,19335752.0,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,565277312.0,19362178.0,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,560510656.0,19180184.0,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,561686464.0,19088040.0,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,564690816.0,19030516.0,1.4547739865034401e-26,1.9550663351138925e-31
87.5,122.5,564816704.0,18940690.0,1.4566384407640025e-26,1.9575653185543056e-31
87.5,127.5,565459840.0,18967808.0,1.4602832246651565e-26,1.9619615498769459e-31
87.5,132.5,570410688.0,19172918.0,1.4808623253813185e-26,1.9860355566323512e-31
87.5,137.5,572886912.0,19218754.0,1.4895954161955436e-26,1.996279519702027e-31
87.5,142.5,573526656.0,19110036.0,1.4873684248822497e-26,1.993699309601972e-31
87.5,147.5,578592576.0,19243188.0,1.5022159580839154e-26,2.0108274377878038e-31
87.5,152.5,577704128.0,19130978.0,1.497723765007231e-26,2.005606832276932e-31
87.5,157.5,573569984.0,19008378.0,1.4870929398630046e-26,1.9933605321300652e-31
87.5,162.5,568136768.0,18758080.0,1.4658240480779608e-26,1.96872193543796e-31
87.5,167.5,573740224.0,18895420.0,1.4862993026515215e-26,1.9917383499259305e-31
87.5,172.5,580238080.0,19105246.0,1.5114802974140002e-26,2.020446978258323e-31
87.5,177.5,567304704.0,18701458.0,1.4740274311202816e-26,1.9774871266143014e-31
82.5,-177.5,618967872.0,24725750.0,1.7391551072733083e-26,2.2887716664465127e-31
82.5,-172.5,616174784.0,25153092.0,1.736997603512408e-26,2.2917233327614274e-31
82.5,-167.5,613637056.0,25361886.0,1.739364186228071e-26,2.290911066165009e-31
82.5,-162.5,612673088.0,25987018.0,1.751447316624761e-26,2.2995013437819483e-31
82.5,-157.5,613162752.0,26109430.0,1.7626223325340735e-26,2.3079801845344295e-31
82.5,-152.5,613918976.0,25185036.0,1.776786083568284e-26,2.3164917040298635e-31
82.5,-147.5,615310208.0,24871932.0,1.7845198478529652e-26,2.3231158497956173e-31
82.5,-142.5,615675072.0,24648468.0,1.7881769577057633e-26,2.3275850793174436e-31
82.5,-137.5,616119168.0,23937718.0,1.7959937680896466e-26,2.3352283786853603e-31
82.5,-132.5,616629184.0,23092694.0,1.7961156409365275e-26,2.3382049654805125e-31
82.5,-127.5,615263424.0,22093328.0,1.7945690421539867e-26,2.3335163887128227e-31
82.5,-122.5,616819840.0,21475234.0,1.805567796954789e-26,2.3455367588454612e-31
82.5,-117.5,607647040.0,19726582.0,1.760431548703734e-26,2.2963397341759767e-31
82.5,-112.5,603407552.0,18568418.0,1.7375713765614398e-26,2.270309822370238e-31
82.5,-107.5,600920704.0,18139746.0,1.723050943301529e-26,2.255699603083868e-31
82.5,-102.5,597786816.0,17924372.0,1.7083588711649742e-26,2.2400001707320258e-31
82.5,-97.5,593861568.0,17739896.0,1.698370690324591e-26,2.227377712392896e-31
82.5,-92.5,595369856.0,17650630.0,1.717855862832341e-26,2.248850937897107e-31
82.5,-87.5,595480896.0,17434788.0,1.7298169663077546e-26,2.2627955922820417e-31
82.5,-82.5,595463872.0,17110610.0,1.7379864529830542e-26,2.2692380066211584e-31
82.5,-77.5,597667328.0,16993866.0,1.7476362864508075e-26,2.2783913460321414e-31
82.5,-72.5,608401408.0,17165896.0,1.7967399503873e-26,2.3320420836980214e-31
82.5,-67.5,583924736.0,16164775.0,1.7089637672419074e-26,2.229531923340213e-31
82.5,-62.5,585516416.0,15317705.0,1.7112506934950705e-26,2.2294924267300254e-31
82.5,-57.5,617260544.0,15249862.0,1.8233262577115992e-26,2.356667985051138e-31
82.5,-52.5,622795008.0,15076520.0,1.8401695165588366e-26,2.375524089932678e-31
82.5,-47.5,624437120.0,14477837.0,1.888707111166075e-26,2.42814838593142e-31
82.5,-42.5,612262080.0,13271653.0,1.852726425721846e-26,2.3877271318874345e-31
82.5,-37.5,595998144.0,12483556.0,1.7822423201379307e-26,2.3128295689293118e-31
82.5,-32.5,590560896.0,12257148.0,1.758647675352045e-26,2.284454780992553e-31
82.5,-27.5,581567424.0,12080953.0,1.715391134726712e-26,2.2371279678352266e-31
82.5,-22.5,574933504.0,12134855.0,1.6833159270609092e-26,2.2016750582144264e-31
82.5,-17.5,571914368.0,11850958.0,1.6593065140022002e-26,2.178187035392906e-31
82.5,-12.5,571944064.0,12225945.0,1.6317373661086813e-26,2.1467954587541968e-31
82.5,-7.5,573466944.0,12469709.0,1.624926661527746e-26,2.1377401555720724e-31
82.5,-2.5,579589952.0,13145834.0,1.610330731814015e-26,2.123175780565384e-31
82.5,2.5,591265920.0,13985476.0,1.6053280902648702e-26,2.1163962344464518e-31
82.5,7.5,592839936.0,14722500.0,1.595548834304854e-26,2.102591228790395e-31
82.5,12.5,593328256.0,15103128.0,1.5912772757625987e-26,2.0992095666419493e-31
82.5,17.5,593229056.0,15607785.0,1.5808110020728207e-26,2.087504228995331e-31
82.5,22.5,590892032.0,16222798.0,1.574780992454142e-26,2.0812122779331197e-31
82.5,27.5,590169920.0,16927196.0,1.5736511649115667e-26,2.079958965856273e-31
82.5,32.5,589747200.0,17663902.0,1.5757488878069933e-26,2.083562796437024e-31
82.5,37.5,592367488.0,18056742.0,1.5844895282666004e-26,2.0938446104247963e-31
82.5,42.5,609107712.0,18911856.0,1.6193111120330993e-26,2.1327972018268646e-31
82.5,47.5,629374464.0,19883250.0,1.668681016525104e-26,2.1909811159072557e-31
82.5,52.5,625378688.0,19995222.0,1.6572135674130357e-26,2.176331635109568e-31
82.5,57.5,627255424.0,20105768.0,1.6654328201180982e-26,2.1852799683057676e-31
82.5,62.5,622141056.0,20253424.0,1.6547838141951968e-26,2.174122646125503e-31
82.5,67.5,626108288.0,20713374.0,1.671654960508029e-26,2.1948301546095882e-31
82.5,72.5,624290624.0,21223596.0,1.6708109409692007e-26,2.1944941983241232e-31
82.5,77.5,619310656.0,21729186.0,1.6563183951748845e-26,2.177696854248613e-31
82.5,82.5,618896512.0,22148126.0,1.6627385211630982e-26,2.1853295741673723e-31
82.5,87.5,618125760.0,22829806.0,1.6787460804888672e-26,2.20188006442921e-31
82.5,92.5,618225472.0,23245174.0,1.6914989722830173e-26,2.216140221497905e-31
