latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,11462217728.0,3447032064.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,11550404608.0,3451080448.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,11598134272.0,3457309440.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,11386584064.0,3402984704.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,11354640384.0,3377496576.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,11362267136.0,3361405952.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,11299032064.0,3329830656.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,11291939840.0,3320667904.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,11292676096.0,3308488448.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,11209123840.0,3286203392.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,11247472640.0,3293802240.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,11276941312.0,3304701440.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,11318028288.0,3325698048.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,11191995392.0,3318596608.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,11110965248.0,3321445632.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,11098194944.0,3336648960.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,11178609664.0,3360129024.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,11223420928.0,3390675712.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,11097654272.0,3387181312.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,11023134720.0,3378082816.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,11084660736.0,3397104128.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,11210746880.0,3438526976.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,11105409024.0,3421818880.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,11139105792.0,3420018176.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,11303848960.0,3448859648.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,11336434688.0,3455008512.0,1.4997993011896983e-26,1.994560946961125e-31
