latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,30952744960.0,17643704320.0,7.926642396722651e-21,1.9890624545857186e-31
87.5,-172.5,31255934976.0,17751625728.0,6.601123431404071e-21,2.0079237316424025e-31
87.5,-167.5,31410665472.0,17840979968.0,6.064431443976691e-21,2.02168688969957e-31
87.5,-162.5,30837776384.0,17495291904.0,4.926652589345671e-21,1.9788981900330285e-31
87.5,-157.5,30813233152.0,17482711040.0,4.1633938934354554e-21,1.973964170044887e-31
87.5,-152.5,30892101632.0,17525268480.0,3.738033227094967e-21,1.9785540052871077e-31
87.5,-147.5,30800369664.0,17406932992.0,3.3226072099375675e-21,1.967212365592634e-31
87.5,-142.5,30829367296.0,17372092416.0,3.1593426384833054e-21,1.9665060110372248e-31
87.5,-137.5,30918692864.0,17295900672.0,2.850721471160414e-21,1.9686309521752063e-31
87.5,-132.5,30748076032.0,17081221120.0,2.9562326395974575e-21,1.9512314023437699e-31
87.5,-127.5,30924263424.0,17087534080.0,3.0391476005347035e-21,1.9574309595500066e-31
87.5,-122.5,31052603392.0,17137483776.0,3.0840611248053104e-21,1.963408583422808e-31
87.5,-117.5,31237824512.0,17275973632.0,3.1676277732026902e-21,1.9745284073332817e-31
87.5,-112.5,30868951040.0,17132051456.0,3.3902062028971195e-21,1.9498898106411764e-31
87.5,-107.5,30613346304.0,16998139904.0,3.7344042144954605e-21,1.931149374403757e-31
87.5,-102.5,30559377408.0,16995560448.0,4.0802020612531386e-21,1.9291571465779834e-31
87.5,-97.5,30771585024.0,17135134720.0,4.257611703909806e-21,1.9419871972194683e-31
87.5,-92.5,30904926208.0,17240147968.0,4.557663393177747e-21,1.9539212860667565e-31
87.5,-87.5,30516850688.0,17065338880.0,5.053380455818559e-21,1.9314321983445648e-31
87.5,-82.5,30273937408.0,16975989760.0,5.326813327571702e-21,1.9179607979852712e-31
87.5,-77.5,30475571200.0,17096408064.0,5.4856449298789545e-21,1.9297507712251486e-31
87.5,-72.5,30887368704.0,17351452672.0,5.721663630888628e-21,1.9577839605035585e-31
87.5,-67.5,30582153216.0,17228460032.0,5.819418365495853e-21,1.9419105549877947e-31
87.5,-62.5,30671876096.0,17311197184.0,5.9281825186269895e-21,1.9466838848981788e-31
87.5,-57.5,31215757312.0,17638787072.0,6.046958061330075e-21,1.981380834101965e-31
87.5,-52.5,31300526080.0,17716549632.0,6.125546681871148e-21,1.989730605574726e-31
