latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,43640932.0,165893.5,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,44005528.0,166910.109375,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,44180224.0,167618.3125,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,43302384.0,163807.375,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,43219848.0,163019.265625,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,43261708.0,162824.765625,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,43031608.0,161363.015625,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,43010108.0,160889.796875,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,43020132.0,159965.75,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,42671224.0,157476.953125,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,42851824.0,156676.328125,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,43042112.0,156567.203125,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,43220392.0,156253.390625,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,42580752.0,153515.140625,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,42214020.0,151305.421875,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,42116812.0,150280.203125,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,42478124.0,150880.96875,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,42679440.0,151164.203125,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,42057860.0,149125.546875,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,41665556.0,147838.09375,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,41949404.0,148833.109375,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,42552204.0,150988.875,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,42094276.0,149824.53125,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,42268556.0,150027.09375,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,43093888.0,153038.171875,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,43232968.0,153798.25,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,42535980.0,152094.203125,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,42681260.0,153071.828125,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,42538204.0,152821.0625,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,42722664.0,153678.65625,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,43253180.0,156043.078125,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,43128524.0,156519.046875,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,43292716.0,157769.203125,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,43588372.0,159826.671875,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,43484320.0,159978.734375,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,43518420.0,161627.390625,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,43536036.0,163959.359375,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,43138792.0,164491.15625,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,43145844.0,165708.359375,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,43410328.0,168639.828125,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,43655392.0,172044.390625,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,43251696.0,172928.703125,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,43472492.0,176471.921875,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,43391540.0,177490.96875,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,43434120.0,180714.109375,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,43314112.0,181898.78125,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,43375992.0,183263.625,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,43721712.0,185300.828125,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,44096808.0,188227.390625,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,43256104.0,184180.546875,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,43492120.0,185198.234375,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,44047332.0,188455.203125,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,44191592.0,189731.453125,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,43760900.0,189328.265625,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,43531052.0,188823.0,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,43245096.0,187557.703125,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,43241932.0,187433.140625,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,42843596.0,184760.09375,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,42935816.0,182917.109375,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,43165580.0,181587.484375,1.4547739865034401e-26,1.9550663351138925e-31
87.5,122.5,43159500.0,179354.90625,1.4566384407640025e-26,1.9575653185543056e-31
87.5,127.5,43200356.0,178863.46875,1.4602832246651565e-26,1.9619615498769459e-31
87.5,132.5,43575176.0,178999.640625,1.4808623253813185e-26,1.9860355566323512e-31
87.5,137.5,43741284.0,176751.203125,1.4895954161955436e-26,1.996279519702027e-31
87.5,142.5,43782248.0,173705.578125,1.4873684248822497e-26,1.993699309601972e-31
87.5,147.5,44188612.0,173978.140625,1.5022159580839154e-26,2.0108274377878038e-31
87.5,152.5,44113644.0,171210.46875,1.497723765007231e-26,2.005606832276932e-31
87.5,157.5,43766460.0,169907.328125,1.4870929398630046e-26,1.9933605321300652e-31
87.5,162.5,43357764.0,167351.953125,1.4658240480779608e-26,1.96872193543796e-31
87.5,167.5,43808536.0,168526.375,1.4862993026515215e-26,1.9917383499259305e-31
87.5,172.5,44313024.0,170293.203125,1.5114802974140002e-26,2.020446978258323e-31
87.5,177.5,43262884.0,165558.046875,1.4740274311202816e-26,1.9774871266143014e-31
82.5,-177.5,47062836.0,206071.109375,1.7391551072733083e-26,2.2887716664465127e-31
82.5,-172.5,46747692.0,207309.96875,1.736997603512408e-26,2.2917233327614274e-31
82.5,-167.5,46512432.0,208142.984375,1.739364186228071e-26,2.290911066165009e-31
82.5,-162.5,46358108.0,212315.40625,1.751447316624761e-26,2.2995013437819483e-31
82.5,-157.5,46362184.0,215010.53125,1.7626223325340735e-26,2.3079801845344295e-31
82.5,-152.5,46404100.0,207642.234375,1.776786083568284e-26,2.3164917040298635e-31
82.5,-147.5,46498304.0,202409.046875,1.7845198478529652e-26,2.3231158497956173e-31
82.5,-142.5,46486636.0,199331.640625,1.7881769577057633e-26,2.3275850793174436e-31
82.5,-137.5,46418196.0,189841.734375,1.7959937680896466e-26,2.3352283786853603e-31
82.5,-132.5,46386812.0,178452.84375,1.7961156409365275e-26,2.3382049654805125e-31
82.5,-127.5,46200964.0,165801.578125,1.7945690421539867e-26,2.3335163887128227e-31
82.5,-122.5,46303808.0,159442.53125,1.805567796954789e-26,2.3455367588454612e-31
82.5,-117.5,45625984.0,146555.5,1.760431548703734e-26,2.2963397341759767e-31
82.5,-112.5,45366356.0,142691.328125,1.7375713765614398e-26,2.270309822370238e-31
82.5,-107.5,45276168.0,144883.90625,1.723050943301529e-26,2.255699603083868e-31
82.5,-102.5,45151088.0,148149.671875,1.7083588711649742e-26,2.2400001707320258e-31
82.5,-97.5,44859160.0,148033.921875,1.698370690324591e-26,2.227377712392896e-31
82.5,-92.5,44972492.0,150919.203125,1.717855862832341e-26,2.248850937897107e-31
82.5,-87.5,45016540.0,152165.3125,1.7298169663077546e-26,2.2627955922820417e-31
82.5,-82.5,45092404.0,152291.953125,1.7379864529830542e-26,2.2692380066211584e-31
82.5,-77.5,45309616.0,152604.09375,1.7476362864508075e-26,2.2783913460321414e-31
82.5,-72.5,46226656.0,156027.8125,1.7967399503873e-26,2.3320420836980214e-31
