latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,1214726528.0,658350656.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,1224040704.0,664001088.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,1229945728.0,668128640.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,1206885120.0,655262528.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,1204505856.0,653647936.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,1206435072.0,655355264.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,1200556928.0,651964288.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,1200216960.0,651729024.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,1200962944.0,652181376.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,1192564096.0,646633216.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,1196757120.0,648224000.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,1200358272.0,649898048.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,1205470848.0,652538624.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,1190873856.0,644101440.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,1181104896.0,635893824.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,1179379840.0,633049600.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,1187042432.0,637466176.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,1192027776.0,641072256.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,1177540992.0,632235008.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,1169627008.0,628742976.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,1176021888.0,632601920.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,1189958400.0,641738048.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,1178951168.0,636906752.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,1181975168.0,639438016.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,1200270464.0,651395840.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,1203862528.0,653991616.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,1188074880.0,646182144.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,1190634880.0,648771968.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,1186646784.0,647031360.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,1190409344.0,650350912.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,1202570368.0,659276544.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,1199005312.0,660219200.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,1200321920.0,663096896.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,1206349056.0,668006592.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,1203294976.0,666957568.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,1202409984.0,667431488.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,1201886976.0,667501056.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,1191046400.0,659971584.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,1190545408.0,658993280.0,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,1195221248.0,660205248.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,1200874240.0,663997632.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,1189397376.0,656611328.0,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,1194564608.0,660202880.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,1192213376.0,659032320.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,1191754112.0,660635648.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,1189256064.0,658619776.0,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,1189017984.0,659104832.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,1197192832.0,663763584.0,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,1208846976.0,669179456.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,1189072640.0,654001472.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,1194884992.0,656191744.0,1.4584844060970988e-26,1.957874708667442e-31
