latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,516552352.0,39363428.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,520732704.0,39544108.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,523050912.0,39681016.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,514181440.0,38903464.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,513084736.0,38636396.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,513715872.0,38519624.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,511045216.0,38146532.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,510765856.0,38035352.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,510820896.0,37854056.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,506946976.0,37400120.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,508687104.0,37269180.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,510407456.0,37262852.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,512183968.0,37230912.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,506064736.0,36708864.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,502116800.0,36336488.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,501123200.0,36198024.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,504660096.0,36319484.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,506578496.0,36422804.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,500284576.0,36150092.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,496514176.0,35918708.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,499207744.0,36076856.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,504881664.0,36426912.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,499695968.0,36189192.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,501011424.0,36221004.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,508802080.0,36590980.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,510219200.0,36670964.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,503061824.0,36236940.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,503913824.0,36303124.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,501888864.0,36201996.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,503461280.0,36335268.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,508386272.0,36706836.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,506489248.0,36717720.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,507084448.0,36806712.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,509627968.0,37066908.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,508295072.0,37028704.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,507884064.0,37091728.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,507673344.0,37211500.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,503364352.0,36974612.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,503332448.0,37022804.0,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,505631168.0,37270424.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,508021536.0,37607088.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,503680192.0,37541976.0,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,505816000.0,37849824.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,504954336.0,37876692.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,505066528.0,38080936.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,504448928.0,38119508.0,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,504779104.0,38255420.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,508142528.0,38582656.0,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,512568000.0,39061380.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,504599296.0,38531168.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,507278720.0,38763552.0,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,513418880.0,39333372.0,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,515013696.0,39516124.0,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,511509216.0,39442036.0,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,509669696.0,39423560.0,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,506988032.0,39302852.0,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,507380800.0,39358644.0,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,504036896.0,39138560.0,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,505488768.0,39183192.0,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,508229088.0,39370404.0,1.4547739865034401e-26,1.9550663351138925e-31
87.5,122.5,508670784.0,39374584.0,1.4566384407640025e-26,1.9575653185543056e-31
87.5,127.5,509339424.0,39408656.0,1.4602832246651565e-26,1.9619615498769459e-31
87.5,132.5,513715104.0,39769316.0,1.4808623253813185e-26,1.9860355566323512e-31
87.5,137.5,515931456.0,39941016.0,1.4895954161955436e-26,1.996279519702027e-31
87.5,142.5,515995840.0,39888800.0,1.4873684248822497e-26,1.993699309601972e-31
87.5,147.5,519954176.0,40162524.0,1.5022159580839154e-26,2.0108274377878038e-31
87.5,152.5,519038560.0,40030856.0,1.497723765007231e-26,2.005606832276932e-31
87.5,157.5,516144864.0,39786712.0,1.4870929398630046e-26,1.9933605321300652e-31
87.5,162.5,511368800.0,39360368.0,1.4658240480779608e-26,1.96872193543796e-31
87.5,167.5,516318368.0,39587332.0,1.4862993026515215e-26,1.9917383499259305e-31
87.5,172.5,522256384.0,40012664.0,1.5114802974140002e-26,2.020446978258323e-31
87.5,177.5,512626016.0,39242756.0,1.4740274311202816e-26,1.9774871266143014e-31
82.5,-177.5,542242304.0,45316088.0,1.7391551072733083e-26,2.2887716664465127e-31
82.5,-172.5,542741760.0,45741580.0,1.736997603512408e-26,2.2917233327614274e-31
82.5,-167.5,542059392.0,45904760.0,1.739364186228071e-26,2.290911066165009e-31
82.5,-162.5,544399808.0,46399028.0,1.751447316624761e-26,2.2995013437819483e-31
82.5,-157.5,547562112.0,46635280.0,1.7626223325340735e-26,2.3079801845344295e-31
82.5,-152.5,550677760.0,46384120.0,1.776786083568284e-26,2.3164917040298635e-31
82.5,-147.5,553540800.0,45872100.0,1.7845198478529652e-26,2.3231158497956173e-31
82.5,-142.5,555077248.0,45511736.0,1.7881769577057633e-26,2.3275850793174436e-31
82.5,-137.5,557896512.0,44481304.0,1.7959937680896466e-26,2.3352283786853603e-31
82.5,-132.5,560331712.0,43482868.0,1.7961156409365275e-26,2.3382049654805125e-31
