latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,55034840.0,496090.90625,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,55472076.0,498642.15625,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,55718664.0,500541.5,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,54713768.0,488990.65625,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,54614600.0,486196.09375,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,54685348.0,485273.59375,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,54415324.0,480696.375,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,54393344.0,479216.625,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,54409892.0,476590.25,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,54007972.0,469355.21875,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,54195936.0,467073.96875,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,54386628.0,466628.875,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,54605584.0,465320.875,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,53907880.0,456563.0625,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,53498816.0,448887.0625,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,53402776.0,444751.875,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,53788516.0,445826.625,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,54019512.0,445591.53125,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,53345048.0,438604.3125,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,52903500.0,433565.4375,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,53213932.0,435513.34375,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,53907188.0,440076.03125,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,53382864.0,435773.75,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,53519420.0,435584.28125,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,54461736.0,443096.03125,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,54618880.0,444693.6875,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,53843056.0,439223.125,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,53955260.0,441760.25,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,53735856.0,440943.65625,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,53919916.0,443563.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,54519088.0,450584.4375,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,54360800.0,452751.03125,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,54490660.0,457052.59375,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,54806792.0,463716.09375,1.5150785508476977e-26,2.0121754947093268e-31
