latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,17341740.0,80897.765625,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,17487290.0,81283.0625,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,17565376.0,81579.5390625,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,17224108.0,79521.671875,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,17197616.0,78986.4375,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,17222870.0,78747.5078125,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,17138618.0,77872.0390625,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,17132994.0,77552.0625,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,17141406.0,76882.2109375,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,17010796.0,75433.0625,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,17081118.0,74795.7265625,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,17147462.0,74607.75,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,17226928.0,74296.3203125,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,16978572.0,72893.8046875,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,16840296.0,71743.1640625,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,16809064.0,71204.71875,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,16943106.0,71490.96875,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,17016938.0,71656.890625,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,16774932.0,70796.09375,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,16620101.0,70328.5234375,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,16724738.0,70899.8359375,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,16962268.0,72090.0390625,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,16781556.0,71728.75,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,16833504.0,71855.9296875,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,17164054.0,73370.5,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,17219484.0,73775.0625,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,16956656.0,72994.09375,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,17000662.0,73416.2578125,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,16934316.0,73193.1328125,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,17000916.0,73567.6171875,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,17215532.0,74641.9765625,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,17169142.0,74720.28125,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,17229196.0,75128.046875,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,17344044.0,75968.46875,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,17305540.0,75997.796875,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,17319828.0,76746.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,17325468.0,77990.6015625,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,17153062.0,78399.5625,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,17144516.0,79117.296875,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,17236650.0,80790.2265625,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,17328946.0,82588.203125,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,17167682.0,83279.015625,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,17258418.0,85263.046875,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,17229526.0,85895.8671875,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,17251202.0,87786.3828125,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,17183768.0,88479.5859375,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,17206856.0,89330.5703125,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,17346908.0,90450.6953125,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,17500160.0,92201.046875,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,17168790.0,90436.75,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,17265298.0,91110.765625,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,17485016.0,92907.859375,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,17541658.0,93664.1328125,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,17377824.0,93684.078125,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,17295242.0,93510.1796875,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,17190768.0,92885.7109375,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,17193566.0,92759.078125,1.4515233249061056e-26,1.9505048292855266e-31
