latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,21013106688.0,8217982976.0,3.6910094935920064e-23,1.9890624545857186e-31
87.5,-172.5,21208567808.0,8317655552.0,3.003590736528261e-23,2.0079237316424025e-31
87.5,-167.5,21313943552.0,8389275136.0,2.736779676809514e-23,2.02168688969957e-31
87.5,-162.5,20932327424.0,8280932864.0,2.2205385296967538e-23,1.9788981900330285e-31
87.5,-157.5,20915781632.0,8330934784.0,1.957998205146692e-23,1.973964170044887e-31
87.5,-152.5,20965318656.0,8400156160.0,1.897584239353427e-23,1.9785540052871077e-31
87.5,-147.5,20900145152.0,8377558528.0,1.8060680124221944e-23,1.967212365592634e-31
87.5,-142.5,20917067776.0,8363291136.0,1.771447589419122e-23,1.9665060110372248e-31
87.5,-137.5,20978100224.0,8309850112.0,1.718407579823501e-23,1.9686309521752063e-31
87.5,-132.5,20870846464.0,8181373952.0,1.8908473672228397e-23,1.9512314023437699e-31
87.5,-127.5,20997154816.0,8163794944.0,1.991035542085167e-23,1.9574309595500066e-31
87.5,-122.5,21088577536.0,8187864064.0,2.0235900961496466e-23,1.963408583422808e-31
87.5,-117.5,21224554496.0,8260748288.0,2.0682170619632666e-23,1.9745284073332817e-31
87.5,-112.5,20995297280.0,8211129344.0,2.1384398820242306e-23,1.9498898106411764e-31
87.5,-107.5,20841863168.0,8151411712.0,2.2429929820473268e-23,1.931149374403757e-31
87.5,-102.5,20819150848.0,8152850944.0,2.2998144752782152e-23,1.9291571465779834e-31
87.5,-97.5,20965042176.0,8222411776.0,2.3013615892855347e-23,1.9419871972194683e-31
87.5,-92.5,21063921664.0,8292802048.0,2.2732161365925163e-23,1.9539212860667565e-31
87.5,-87.5,20818395136.0,8227749888.0,2.3495521553524e-23,1.9314321983445648e-31
87.5,-82.5,20666707968.0,8199416320.0,2.3037136569605417e-23,1.9179607979852712e-31
87.5,-77.5,20803403776.0,8258387968.0,2.2800582427678602e-23,1.9297507712251486e-31
87.5,-72.5,21083729920.0,8382379520.0,2.1753071386575536e-23,1.9577839605035585e-31
87.5,-67.5,20887187456.0,8322036736.0,2.039932138662205e-23,1.9419105549877947e-31
87.5,-62.5,20951451648.0,8348597760.0,1.9179302242765254e-23,1.9466838848981788e-31
87.5,-57.5,21317238784.0,8482225152.0,1.7620754485485532e-23,1.981380834101965e-31
87.5,-52.5,21376901120.0,8511392768.0,1.6695412755052233e-23,1.989730605574726e-31
87.5,-47.5,21084612608.0,8401802240.0,1.4512685117403627e-23,1.9643621444401951e-31
87.5,-42.5,21152485376.0,8409380864.0,1.4116093185912816e-23,1.970413119160488e-31
87.5,-37.5,21079207936.0,8371817472.0,1.4759597003015994e-23,1.9641872308807928e-31
87.5,-32.5,21156327424.0,8388334080.0,1.5649397394225465e-23,1.9715807376991597e-31
87.5,-27.5,21392443392.0,8460306944.0,1.9518600784431673e-23,1.997114355789981e-31
87.5,-22.5,21318055936.0,8415655936.0,2.7651297600213466e-23,1.993877749644427e-31
87.5,-17.5,21329899520.0,8403200000.0,4.484587155937516e-23,1.99495426737091e-31
87.5,-12.5,21435138048.0,8444912640.0,7.604252463781807e-23,2.0072986037466353e-31
87.5,-7.5,21368723456.0,8420286464.0,9.941233331748605e-23,2.0012650263427346e-31
87.5,-2.5,21336756224.0,8412868608.0,1.7369649330845373e-22,1.998415157838601e-31
87.5,2.5,21300387840.0,8428850176.0,3.135510557313178e-22,1.9962661190664278e-31
87.5,7.5,21075134464.0,8371085312.0,5.670646216477783e-22,1.9727223778126783e-31
87.5,12.5,21065269248.0,8384119296.0,7.689706042220927e-22,1.9698994281291786e-31
