latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,6096223232.0,1735411456.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,6141029376.0,1736833792.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,6168907264.0,1738557056.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,6063108096.0,1711453824.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,6048317440.0,1698413312.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,6054220800.0,1689140864.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,6022507520.0,1671417856.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,6018864640.0,1664744960.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,6019171328.0,1654132864.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,5974595072.0,1632010240.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,5989759488.0,1623365504.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,6006747136.0,1621733632.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,6027052032.0,1616325760.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,5961134080.0,1596932352.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,5915726336.0,1581350016.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,5904246272.0,1574258560.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,5939557376.0,1578645248.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,5961543168.0,1580658688.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,5895536128.0,1567052544.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,5851922944.0,1553826944.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,5880937472.0,1558289152.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,5945331200.0,1567580544.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,5892185088.0,1554482560.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,5902406656.0,1551566208.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,5986838016.0,1565883264.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,6002942976.0,1567590144.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,5927196672.0,1552688512.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,5936254976.0,1555222144.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,5913348608.0,1549075456.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,5930419200.0,1553380736.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,5987302912.0,1564027904.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,5971223552.0,1559189248.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,5978266112.0,1564806016.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,6008467968.0,1575587712.0,1.5150785508476977e-26,2.0121754947093268e-31
