latitude,longitude,volc_1_surf,volc_2_surf,volc_3_surf,volc_4_surf
87.5,-177.5,774862464.0,35303420.0,1.4882770015928138e-26,1.9938753986557254e-31
87.5,-172.5,780869120.0,35489132.0,1.505043531391067e-26,2.012720688989238e-31
87.5,-167.5,784015296.0,35618860.0,1.5172228042105807e-26,2.0264751483882097e-31
87.5,-162.5,769923648.0,34944748.0,1.480204735861107e-26,1.983699379159527e-31
87.5,-157.5,767974400.0,34744784.0,1.4761915600801906e-26,1.9787585413041508e-31
87.5,-152.5,768471424.0,34625940.0,1.480451408968384e-26,1.9833410884813964e-31
87.5,-147.5,764179072.0,34293164.0,1.4710967820425064e-26,1.9719989785891823e-31
87.5,-142.5,763641472.0,34172036.0,1.4707243842284597e-26,1.9712907432428119e-31
87.5,-137.5,763560128.0,33966204.0,1.4729820363464682e-26,1.97341098240339e-31
87.5,-132.5,757429888.0,33440106.0,1.4585072091076404e-26,1.9560160169999218e-31
87.5,-127.5,759948672.0,33226960.0,1.4647076250077984e-26,1.9622129881185867e-31
87.5,-122.5,762821440.0,33193450.0,1.470316241154645e-26,1.9681882610026866e-31
87.5,-117.5,765348352.0,33047678.0,1.480677898329844e-26,1.97930091439762e-31
87.5,-112.5,755728640.0,32460426.0,1.4599470343340643e-26,1.954671133913146e-31
87.5,-107.5,749575744.0,31914678.0,1.4447386588980182e-26,1.93594257016867e-31
87.5,-102.5,747867968.0,31593844.0,1.443888784532159e-26,1.9339551618697347e-31
87.5,-97.5,753496384.0,31616302.0,1.455384429258613e-26,1.9467849774123495e-31
87.5,-92.5,756682944.0,31546710.0,1.4661138620159922e-26,1.958715304677715e-31
87.5,-87.5,747137024.0,31043112.0,1.446957484268348e-26,1.9362362086575053e-31
87.5,-82.5,741138944.0,30595432.0,1.4360614970893782e-26,1.9227792668787269e-31
87.5,-77.5,745547264.0,30644968.0,1.446652416965157e-26,1.9345734718982672e-31
87.5,-72.5,754647808.0,30803898.0,1.4714349753407408e-26,1.9626032522430597e-31
87.5,-67.5,747163584.0,30413682.0,1.4578839781776367e-26,1.9467377225394464e-31
87.5,-62.5,749650944.0,30308182.0,1.4622892732952302e-26,1.9515212792506826e-31
87.5,-57.5,761815808.0,30655094.0,1.492587695031539e-26,1.9862161125646375e-31
87.5,-52.5,764034176.0,30704356.0,1.4997993011896983e-26,1.994560946961125e-31
87.5,-47.5,752955584.0,30306988.0,1.4775568132991678e-26,1.9692057689127584e-31
87.5,-42.5,754849088.0,30388358.0,1.4829076629822578e-26,1.9752654422912473e-31
87.5,-37.5,752181312.0,30271708.0,1.4775469525378526e-26,1.9690500159112744e-31
87.5,-32.5,754871296.0,30368840.0,1.484075238751743e-26,1.976447284311564e-31
87.5,-27.5,762649280.0,30600896.0,1.506353625976437e-26,2.0019785514136837e-31
87.5,-22.5,760152640.0,30538368.0,1.5033365411627576e-26,1.9987459419489225e-31
87.5,-17.5,761675264.0,30668064.0,1.5041916540580656e-26,1.9998313934324718e-31
87.5,-12.5,765790272.0,30894528.0,1.5150785508476977e-26,2.0121754947093268e-31
87.5,-7.5,763799808.0,30865100.0,1.5098215324714983e-26,2.00614755967831e-31
87.5,-2.5,763507072.0,30970690.0,1.5069281693974465e-26,2.0033073302278533e-31
87.5,2.5,763436608.0,31142684.0,1.5044357079006183e-26,2.0011648742240446e-31
87.5,7.5,757224320.0,31022034.0,1.483097328563181e-26,1.977639705781038e-31
87.5,12.5,757415552.0,31111078.0,1.4801600542863972e-26,1.9748225160198574e-31
87.5,17.5,761460224.0,31426994.0,1.4836780349600127e-26,1.979979644835785e-31
87.5,22.5,765387456.0,31914072.0,1.4884652805041771e-26,1.986379741378272e-31
87.5,27.5,759149312.0,32003016.0,1.4664576019924664e-26,1.962098847617122e-31
87.5,32.5,762667712.0,32487716.0,1.4703143922618985e-26,1.9676301362849162e-31
87.5,37.5,761480896.0,32619062.0,1.4653186840605536e-26,1.9623036187330351e-31
87.5,42.5,762044160.0,33027568.0,1.4621017647558447e-26,1.9594253032656117e-31
87.5,47.5,761345856.0,33293734.0,1.4569687762680638e-26,1.9541585008267524e-31
87.5,52.5,762282304.0,33590656.0,1.4547913969101374e-26,1.9522110593357451e-31
87.5,57.5,767633984.0,33939052.0,1.4673908306063187e-26,1.9669448230783868e-31
87.5,62.5,774280256.0,34476864.0,1.48567114134086e-26,1.9882445456164165e-31
87.5,67.5,761696960.0,34062808.0,1.4512282724386255e-26,1.94900148956026e-31
87.5,72.5,765731840.0,34418972.0,1.4584844060970988e-26,1.957874708667442e-31
87.5,77.5,775054976.0,35081420.0,1.480141565358931e-26,1.9830982313485165e-31
87.5,82.5,777468736.0,35323504.0,1.4855440299645306e-26,1.989324589825952e-31
87.5,87.5,771528128.0,35364460.0,1.4701902082990844e-26,1.971646800481676e-31
87.5,92.5,768422784.0,35458964.0,1.4614170581420162e-26,1.961640169721431e-31
87.5,97.5,764216512.0,35498144.0,1.4497699582847355e-26,1.9484250271306167e-31
87.5,102.5,764563456.0,35589428.0,1.4515233249061056e-26,1.9505048292855266e-31
87.5,107.5,758928512.0,35415136.0,1.439226955545973e-26,1.9364180576335775e-31
87.5,112.5,760741696.0,35457428.0,1.4449694623425536e-26,1.9434426943246565e-31
87.5,117.5,764742592.0,35552468.0,1.4547739865034401e-26,1.9550663351138925e-31
87.5,122.5,765145728.0,35536804.0,1.4566384407640025e-26,1.9575653185543056e-31
87.5,127.5,766063936.0,35593056.0,1.4602832246651565e-26,1.9619615498769459e-31
87.5,132.5,772490176.0,35937016.0,1.4808623253813185e-26,1.9860355566323512e-31
87.5,137.5,775818880.0,36014864.0,1.4895954161955436e-26,1.996279519702027e-31
87.5,142.5,776316096.0,35881844.0,1.4873684248822497e-26,1.993699309601972e-31
87.5,147.5,782657856.0,36113232.0,1.5022159580839154e-26,2.0108274377878038e-31
87.5,152.5,781291072.0,35941732.0,1.497723765007231e-26,2.005606832276932e-31
87.5,157.5,776343680.0,35745160.0,1.4870929398630046e-26,1.9933605321300652e-31
87.5,162.5,769040512.0,35309144.0,1.4658240480779608e-26,1.96872193543796e-31
87.5,167.5,776255808.0,35537620.0,1.4862993026515215e-26,1.9917383499259305e-31
87.5,172.5,785019520.0,35892724.0,1.5114802974140002e-26,2.020446978258323e-31
87.5,177.5,769215104.0,35194864.0,1.4740274311202816e-26,1.9774871266143014e-31
82.5,-177.5,831506176.0,42420664.0,1.7391551072733083e-26,2.2887716664465127e-31
82.5,-172.5,829608320.0,43179948.0,1.736997603512408e-26,2.2917233327614274e-31
82.5,-167.5,827225024.0,43534660.0,1.739364186228071e-26,2.290911066165009e-31
82.5,-162.5,827673984.0,44501360.0,1.751447316624761e-26,2.2995013437819483e-31
82.5,-157.5,829368512.0,45010660.0,1.7626223325340735e-26,2.3079801845344295e-31
82.5,-152.5,831110080.0,44372104.0,1.776786083568284e-26,2.3164917040298635e-31
82.5,-147.5,833133248.0,43663560.0,1.7845198478529652e-26,2.3231158497956173e-31
82.5,-142.5,834089280.0,43302044.0,1.7881769577057633e-26,2.3275850793174436e-31
82.5,-137.5,835675712.0,42198032.0,1.7959937680896466e-26,2.3352283786853603e-31
82.5,-132.5,837034432.0,40897400.0,1.7961156409365275e-26,2.3382049654805125e-31
82.5,-127.5,836370688.0,39318460.0,1.7945690421539867e-26,2.3335163887128227e-31
82.5,-122.5,839245056.0,38444984.0,1.805567796954789e-26,2.3455367588454612e-31
82.5,-117.5,827615232.0,35937860.0,1.760431548703734e-26,2.2963397341759767e-31
82.5,-112.5,822128192.0,34302176.0,1.7375713765614398e-26,2.270309822370238e-31
82.5,-107.5,818689984.0,33698104.0,1.723050943301529e-26,2.255699603083868e-31
82.5,-102.5,813850304.0,33359810.0,1.7083588711649742e-26,2.2400001707320258e-31
82.5,-97.5,808601408.0,33088540.0,1.698370690324591e-26,2.227377712392896e-31
82.5,-92.5,811044480.0,33102220.0,1.717855862832341e-26,2.248850937897107e-31
82.5,-87.5,811527552.0,32980372.0,1.7298169663077546e-26,2.2627955922820417e-31
82.5,-82.5,811235712.0,32698672.0,1.7379864529830542e-26,2.2692380066211584e-31
82.5,-77.5,813637760.0,32610690.0,1.7476362864508075e-26,2.2783913460321414e-31
82.5,-72.5,827330496.0,33055906.0,1.7967399503873e-26,2.3320420836980214e-31
82.5,-67.5,795963520.0,31562816.0,1.7089637672419074e-26,2.229531923340213e-31
82.5,-62.5,798101056.0,30498940.0,1.7112506934950705e-26,2.2294924267300254e-31
82.5,-57.5,840026688.0,30828720.0,1.8233262577115992e-26,2.356667985051138e-31
82.5,-52.5,847381376.0,30628096.0,1.8401695165588366e-26,2.375524089932678e-31
82.5,-47.5,852651840.0,29967100.0,1.888707111166075e-26,2.42814838593142e-31
82.5,-42.5,836167552.0,28164628.0,1.852726425721846e-26,2.3877271318874345e-31
82.5,-37.5,813065024.0,26834792.0,1.7822423201379307e-26,2.3128295689293118e-31
82.5,-32.5,805016320.0,26385534.0,1.758647675352045e-26,2.284454780992553e-31
